,distance,duration,surface_type,waytypes,steepness,suitability,maxspeed,lanes,oneway,directness
0,3474.4,736.0,9.909,5.6724,9.948,8.474847484748476,7.0,8.0,6.0,1.0
1,2824.4,773.1,8.9011901190119,6.9323999999999995,9.2658,7.2937,9.0,9.0,5.0,3.0
2,3145.3,644.3,9.677,6.917691769176918,10.0,7.8368,8.0,10.0,6.0,10.0
3,2431.8,509.5,10.0,7.036599999999999,9.504000000000001,7.214078592140785,8.0,7.0,5.0,2.0
4,5659.5,1229.5,9.971,6.5672,9.5908,8.973902609739026,7.0,9.0,5.0,10.0
5,4633.3,949.9,9.781,7.689,10.0,7.683899999999999,8.0,8.0,6.0,7.0
6,2778.7,572.6,9.977,7.047399999999999,9.4512,8.458400000000001,8.0,9.0,5.0,10.0
7,1707.8,361.4,10.0,8.523047695230476,10.0,7.1652,9.0,10.0,5.0,7.0
8,5491.5,1117.8,9.985,6.170800000000001,10.0,8.3501,7.0,8.0,6.0,10.0
9,4380.9,897.1,9.757500000000002,6.751975197519751,9.8271,8.245200000000002,8.0,7.0,6.0,1.0
10,4475.0,903.9,9.77297729772977,7.043995600439956,9.3406,8.024199999999999,8.0,9.0,6.0,9.0
11,8107.9,1668.4,9.488,6.0012,9.5735,8.5934,7.0,8.0,6.0,1.0
12,3997.5,823.9,9.6858,6.583058305830583,10.0,8.448855114488552,7.0,7.0,6.0,1.0
13,4165.2,980.0,9.487451254874513,6.138913891389139,10.0,9.573699999999999,8.0,9.0,6.0,10.0
14,4579.9,932.8,10.0,6.129500000000001,9.375,8.98150184981502,8.0,9.0,6.0,10.0
15,4497.2,959.3,9.804,7.61903809619038,9.5652,8.415600000000001,8.0,10.0,5.0,1.0
16,2348.2,479.9,9.847615238476152,7.715400000000001,8.64383561643836,7.0,8.0,10.0,5.0,9.0
17,4094.8,855.8,9.736,7.549499999999999,9.617138286171382,7.950399999999999,8.0,9.0,5.0,9.0
18,4926.6,1044.0,9.803080308030804,7.411041104110411,10.0,8.621862186218621,8.0,9.0,5.0,1.0
19,2084.0,429.8,10.0,6.1716000000000015,9.2774,6.984400000000001,7.0,9.0,5.0,9.0
