,u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,tunnel,lanes,ref,weight
0,28784570,2894426715,0,45388099,Merianstraße,residential,30,False,82.263,"LINESTRING (7.8510885 48.0006042, 7.8507861 47.9998926)",,,,0.0007731884117043124
1,28784570,1183468499,0,52980975,Sautierstraße,residential,30,False,31.520000000000003,"LINESTRING (7.8510885 48.0006042, 7.8511177 48.0006822, 7.851197 48.0008782)",,,,0.00029472085684461614
2,28784573,2894426715,0,45388099,Merianstraße,residential,30,False,32.967,"LINESTRING (7.8506656 47.9996073, 7.8507861 47.9998926)",,,,0.0003097036325276104
3,28784573,1192485072,0,478639048,Merianstraße,residential,30,False,81.195,"LINESTRING (7.8506656 47.9996073, 7.8503881 47.9989011)",,,,0.0007587652403772691
4,28784577,1192485072,0,"[289144131, 288148443, 289144130]",Merianhof,residential,30,False,45.711,"LINESTRING (7.8509791 47.998789, 7.8506235 47.9988583, 7.850461 47.9988865, 7.8503881 47.9989011)",building_passage,,,0.0006015661037261653
5,28784577,28784578,0,"[288148442, 288148443, 4705327]",Merianhof,residential,30,False,45.888999999999996,"LINESTRING (7.8509791 47.998789, 7.8513074 47.9987275, 7.8514624 47.9986969, 7.8515731 47.9986781)",building_passage,,,0.000604287372876103
6,28784578,28784577,0,"[288148442, 288148443, 4705327]",Merianhof,residential,30,False,45.888999999999996,"LINESTRING (7.8515731 47.9986781, 7.8514624 47.9986969, 7.8513074 47.9987275, 7.8509791 47.998789)",building_passage,,,0.000604287372876103
7,28784578,268673099,0,"[4565177, 478885271]",Röderstraße,residential,30,False,39.056,"LINESTRING (7.8515731 47.9986781, 7.8514652 47.9983955, 7.8514389 47.9983386)",,,,0.00036518234364607733
8,28784598,2952947514,0,4538046,Hermann-Herder-Straße,residential,30,False,49.197,"LINESTRING (7.8518889 48.002566, 7.8525301 48.0024579)",,,,0.0006502484525166179
9,28784598,2952877011,0,52980975,Sautierstraße,residential,30,False,57.404,"LINESTRING (7.8518889 48.002566, 7.8516765 48.0020697)",,,,0.0005398402078408271
10,30629751,30629752,0,157116844,Raustraße,residential,30,True,38.134,"LINESTRING (7.8518154 47.9976268, 7.8515476 47.9973344)",,1,,0.0003965029634181526
11,30629751,30629752,1,442783324,,service,,True,39.431,"LINESTRING (7.8518154 47.9976268, 7.851819 47.9975798, 7.8516205 47.9973751, 7.8515476 47.9973344)",,1,,0.00041576874549525977
12,30629752,818880238,0,"[4784129, 777815467, 777815468]",Raustraße,pedestrian,,False,27.474,"LINESTRING (7.8515476 47.9973344, 7.8515267 47.9973193, 7.8514219 47.9971952, 7.8513602 47.9971221)",building_passage,,,0.0002838734117858687
13,268673099,4956412279,0,674555086,Raustraße,residential,,True,11.453,"LINESTRING (7.8514389 47.9983386, 7.8514039 47.9982383)",,,,0.00010623130423709043
14,268673099,28784578,0,"[4565177, 478885271]",Röderstraße,residential,30,False,39.056,"LINESTRING (7.8514389 47.9983386, 7.8514652 47.9983955, 7.8515731 47.9986781)",,,,0.00036518234364607733
15,334240061,7304592322,0,4538046,Hermann-Herder-Straße,residential,30,False,50.344,"LINESTRING (7.8543503 48.0021406, 7.8542471 48.0021587, 7.8536974 48.0022595)",,,,0.0006636408098015819
16,334336020,334336110,0,30322514,Kaiser-Joseph-Straße,pedestrian,,False,39.892,"LINESTRING (7.8515235 47.9964218, 7.8512083 47.9961316)",,2,,0.0004284472896416608
17,334336020,334336113,0,480258616,Kaiser-Joseph-Straße,pedestrian,,False,3.31,"LINESTRING (7.8515235 47.9964218, 7.8515496 47.9964459)",,2,,3.552492082882711e-05
18,334336029,334336110,0,30322514,Kaiser-Joseph-Straße,pedestrian,,False,26.768,"LINESTRING (7.8509986 47.995936, 7.8512083 47.9961316)",,2,,0.0002867637529381948
19,334336029,2470841290,0,492850693,Kaiser-Joseph-Straße,pedestrian,,False,71.898,"LINESTRING (7.8509986 47.995936, 7.8506611 47.9956328, 7.8504262 47.9954151)",,2,,0.0007739596095763513
20,334336110,334336020,0,30322514,Kaiser-Joseph-Straße,pedestrian,,False,39.892,"LINESTRING (7.8512083 47.9961316, 7.8515235 47.9964218)",,2,,0.0004284472896416608
21,334336110,334336029,0,30322514,Kaiser-Joseph-Straße,pedestrian,,False,26.768,"LINESTRING (7.8512083 47.9961316, 7.8509986 47.995936)",,2,,0.0002867637529381948
22,334336113,334336020,0,480258616,Kaiser-Joseph-Straße,pedestrian,,False,3.31,"LINESTRING (7.8515496 47.9964459, 7.8515235 47.9964218)",,2,,3.552492082882711e-05
23,334336113,4968767460,0,480258617,Kaiser-Joseph-Straße,pedestrian,,False,31.024,"LINESTRING (7.8515496 47.9964459, 7.8517794 47.9966787)",,2,,0.0003271144753743317
24,438350331,2952880840,0,52980975,Sautierstraße,residential,30,False,3.388,"LINESTRING (7.8514871 48.0015953, 7.8514985 48.0016248)",,,,3.162609682235483e-05
25,438350331,2952880675,0,52980975,Sautierstraße,residential,30,False,45.997,"LINESTRING (7.8514871 48.0015953, 7.8513256 48.001196)",,,,0.0004307235075989853
26,818880238,4833133223,0,"[4784129, 777815466, 777815465]",Raustraße,pedestrian,,False,28.393,"LINESTRING (7.8513602 47.9971221, 7.8513088 47.9970613, 7.8512048 47.9969381, 7.8511741 47.9968992)",building_passage,,,0.000290397638058266
27,818880238,30629752,0,"[4784129, 777815467, 777815468]",Raustraße,pedestrian,,False,27.474000000000004,"LINESTRING (7.8513602 47.9971221, 7.8514219 47.9971952, 7.8515267 47.9973193, 7.8515476 47.9973344)",building_passage,,,0.0002838734117858688
