place,average_index,max_index,min_index,std_index
"Bern, Switzerland",57.46331500628002,97.04122070752493,19.593450180575946,14.766959752260046
"Bordeaux, France",58.74383900061952,99.57764084293169,26.08695671304348,12.459031879447885
"Bremen, Germany",57.44066583950159,97.29192651150309,23.229813838757767,15.358887839949679
"Utrecht, Netherlands",64.89000369237337,98.43478369321735,17.515528090186336,12.817917863447692
"Strasbourg, France",55.593195620506926,98.01919927513944,22.19085279356295,12.115330019207375
"Amsterdam, Netherlands",59.483100497927396,96.14906936178879,17.515528090186336,11.802710542851493
"Copenhagen Municipality,Denmark",60.22362569773433,93.19028891464708,16.996047567588935,13.882730662711197
"Innsbruck, Austria",58.62248155423799,92.18311579360477,34.46054782093397,11.069894949004654
"Bristol, United Kingdom",50.688142178058406,91.0559015326708,14.65838521590062,8.469805050583494
"Antwerp, Belgium",60.538694823879396,100.72049799264595,23.229813838757767,13.384766797139525
"Nuremberg, Germany",58.13994161965724,96.43892443726708,17.515528090186336,14.485762135868528
"Malmo, Sweden",56.75387731537203,92.16701265044857,26.795491385249594,9.85188621855725
"Hannover, Germany",57.81645886469802,96.28019427758457,16.563147132091096,14.90211180083633
"Leipzig, Germany",54.96461199183262,94.4444454777778,16.563147132091096,13.483199689299106
"Leipzig, Germany",54.96461199183262,94.44444547777779,16.563147132091096,13.483199689299106
"Montreal, Canada",57.965606850572165,94.5341625210766,22.52588011031056,10.561397266693684
