place,average_index,max_index,min_index,std_index,grids,nsegments,unused_grids
"Bern, Switzerland",42.81520087357253,85.25879910333332,18.91304343,16.175630145703273,5.0,26458.0,1.0
"Bordeaux, France",43.09611088915,83.30227736333333,13.442028948333334,12.619804647035654,3.0,24113.0,1.0
"Bremen, Germany",43.726843039901155,88.11688304818182,5.0931676800000005,15.396223793290286,26.0,162062.0,5.0
"Utrecht, Netherlands",49.25156277490444,84.31677008,4.37888197,12.087401570209956,6.0,54544.0,0.0
"Strasbourg, France",40.87428500579959,83.57832978555557,3.8431676875,12.064348697452939,7.0,48510.0,1.0
"Amsterdam, Netherlands",45.83316865691688,90.49689433,13.41614904,11.69950892337181,17.0,105952.0,5.0
"Copenhagen Municipality,Denmark",47.059056401056566,82.76397504,3.743961338888889,15.209479564136565,8.0,110533.0,1.0
"Innsbruck, Austria",40.15838358406091,78.32298127,4.37888197,12.0538602741907,1.0,7798.0,0.0
"Bristol, United Kingdom",36.34294128544279,68.32298123,3.970718707142858,7.951087034317705,8.0,83084.0,2.0
"Antwerp, Belgium",45.25397132824685,80.51464055142857,5.628881962500001,12.521375531923313,17.0,82226.0,5.0
"Nuremberg, Germany",43.51290897786549,84.38923388333333,3.743961338888889,15.023061041910589,16.0,127903.0,1.0
"Malmo, Sweden",40.04672245332255,73.58178044333332,9.2003105125,9.425695997376073,7.0,61439.0,2.0
"Hannover, Germany",44.97172113247707,81.11801232000002,2.95031055,14.989305381125062,13.0,112793.0,0.0
"Leipzig, Germany",42.473620014352825,90.99378875,3.545548641666667,14.42329103147141,22.0,171408.0,2.0
"Berlin, Germany",46.87198268071441,90.37267073,3.743961338888889,15.929638419077232,70.0,440789.0,2.0
"Montreal, Canada",44.07326989786785,80.00690121555556,7.031943178571428,12.6342152682351,32.0,136321.0,9.0
"Bern, Switzerland",30.36346961526153,79.21325042666669,11.3354037,15.275391223237875,5.0,26458.0,1.0
"Bordeaux, France",29.494266172034298,79.21325042666669,9.280538268333334,12.795804078585007,3.0,24113.0,1.0
"Bremen, Germany",31.35452481166796,88.11688304818182,5.0931676800000005,15.603028847886643,26.0,162062.0,5.0
"Utrecht, Netherlands",33.89034887662918,79.12353337444443,4.37888197,11.846724280293756,6.0,54544.0,0.0
"Strasbourg, France",26.921605777252196,83.57832978555557,3.8431676875,11.80218134025914,7.0,48510.0,1.0
"Amsterdam, Netherlands",30.832392697481712,79.68944090000002,9.25465836,11.446147620226238,17.0,105952.0,5.0
"Copenhagen Municipality,Denmark",34.62170460625976,79.69720487250002,3.743961338888889,16.795657531761393,8.0,110533.0,1.0
"Innsbruck, Austria",26.79051185311961,77.08074525,4.37888197,11.540865384683313,1.0,7798.0,0.0
"Bristol, United Kingdom",22.44068234698853,68.32298123,3.970718707142858,6.878671202372737,8.0,83084.0,2.0
"Antwerp, Belgium",30.97690949173604,74.65148368444444,5.628881962500001,11.834980036258838,17.0,82226.0,5.0
"Nuremberg, Germany",31.02907857800777,82.29813655000002,3.743961338888889,13.80565543182543,16.0,127903.0,1.0
"Malmo, Sweden",25.528210268225244,57.61904753333333,9.2003105125,8.286855827699679,7.0,61439.0,2.0
"Hannover, Germany",31.802784559614462,81.11801232000002,2.95031055,14.715408430754135,13.0,112793.0,0.0
"Leipzig, Germany",29.97029499969504,90.99378875,3.545548641666667,14.133715671826275,22.0,171408.0,2.0
"Berlin, Germany",34.4349343592757,90.37267073,3.743961338888889,15.681482948252054,70.0,420110.0,10.0
"Montreal, Canada",30.253708339851496,80.00690121555557,7.031943178571428,12.429027753998916,32.0,136321.0,9.0
