place,average_index,max_index,min_index,std_index,grids,nsegments,unused_grids
"Bern, Switzerland",70.12992419908866,87.42528464184122,46.89440988999999,4.389619572485958,5.0,26542.0,1.0
"Bordeaux, France",75.90313076869936,87.01860095879141,52.62939952666667,3.5006778551486795,3.0,24112.0,1.0
"Bremen, Germany",76.24281763348421,89.08525343140091,52.506184025600774,3.9907263921624487,26.0,162398.0,5.0
"Utrecht, Netherlands",78.90579407386498,88.71531526793474,56.125294599681865,3.703930070414661,6.0,54351.0,0.0
"Strasbourg, France",78.369523115163,91.238280321084,53.286471696243886,4.3779715909273165,7.0,48624.0,1.0
"Amsterdam, Netherlands",77.80707228329265,90.34693003155114,54.70292552843791,3.9563744654673023,17.0,106081.0,5.0
"Copenhagen Municipality, Denmark",71.53797290548525,85.35037067989813,49.76650520378662,4.8632009352453425,8.0,110264.0,1.0
"Innsbruck, Austria",74.37285458107219,83.8570350737147,55.52100406277727,3.7742689827601588,1.0,7811.0,0.0
"Bristol, United Kingdom",72.54394123344846,91.981366362,37.50114112553726,8.344019811843424,8.0,83483.0,2.0
"Antwerp, Belgium",75.96794042877733,90.09017657237438,42.433561552632476,4.6401653387378445,17.0,82070.0,5.0
"Nuremberg, Germany",70.96256418976573,85.97870795273836,39.79457747614603,5.009454058710693,16.0,128413.0,1.0
"Malmo, Sweden",70.46791151505705,84.34653799386807,52.04214907706153,4.762494683719092,7.0,61417.0,2.0
"Hannover, Germany",75.81809769740026,88.94599268239294,37.04826007494489,4.4575083968587625,13.0,113051.0,0.0
"Leipzig, Germany",71.24472551246781,90.99378875,43.64066043315775,4.998866343955366,22.0,171440.0,2.0
"Montreal, Canada",73.71705211503766,91.67312724741849,42.443161579251544,4.562685468027689,32.0,136289.0,9.0
"Berlin, Germany",74.60371267703813,90.37267073000001,45.80584009012988,5.281623879438915,70.0,437388.0,3.0
