place,average_index,max_index,min_index,std_index,grids,nsegments,unused_grids
"Utrecht,Netherlands",71.31083238467241,99.9999999,34.813664565,9.514285696537527,6.0,54343.0,0.0
"Antwerp,Belgium",68.78546841571051,97.55866105,31.406388612857146,9.99649774815129,17.0,82312.0,5.0
"Copenhagen Municipality,Denmark",66.79795462113921,97.55866105,30.314009636111113,10.7950099398695,8.0,110419.0,1.0
"Amsterdam,Netherlands",68.90977026438108,95.1173222,37.32919252000001,9.029751360232018,17.0,106242.0,5.0
"Malmo,Sweden",67.41270178705207,90.2346445,34.73084883333333,8.797125641320543,7.0,61445.0,2.0
"Bern,Switzerland",63.40806173736488,92.67598335000002,34.73084883333333,11.74458187843107,5.0,26550.0,1.0
"Bremen,Germany",64.91625080265354,96.60685520740742,31.36645959,11.524786143484068,26.0,162436.0,5.0
"Hannover,Germany",66.44241089852378,93.21371051481479,24.689440975,11.154898141626651,13.0,113263.0,0.0
"Strasbourg,France",66.1659127870943,96.94616967666668,31.017080718749995,10.850787912594859,7.0,48638.0,1.0
"Bordeaux,France",66.18396890833073,90.8449792125,35.40545200055556,10.336918774893839,3.0,24112.0,1.0
"Leipzig,Germany",63.58406944332311,94.062111716,28.90786747083333,10.609182130325824,22.0,158855.0,3.0
"Bristol,United Kingdom",63.089741696576795,96.86113566428571,28.78881985,9.309179095588435,8.0,83562.0,2.0
"Montreal,Canada",69.08440166694598,93.19875767000002,26.4984471825,10.332177857087068,32.0,130303.0,9.0
"Nuremberg,Germany",65.68621684219907,91.23878528,30.314009636111113,10.68135506047299,16.0,128497.0,1.0
"Innsbruck,Austria",64.38889930190854,91.21118004000002,34.813664565,10.780332709457943,1.0,7811.0,0.0
"Berlin,Germany",65.66831801836298,97.55866105000001,29.114906799999996,11.5354061833544,70.0,447442.0,1.0
