place,average_index,max_index,min_index,std_index,grids,nsegments,unused_grids
"Bern, Switzerland",30.36346961526153,79.21325042666669,11.3354037,15.275391223237875,5.0,26458.0,1.0
"Bordeaux, France",29.494266172034298,79.21325042666669,9.280538268333334,12.795804078585007,3.0,24113.0,1.0
"Bremen, Germany",31.35452481166796,88.11688304818182,5.0931676800000005,15.603028847886643,26.0,162062.0,5.0
"Utrecht, Netherlands",33.89034887662918,79.12353337444443,4.37888197,11.846724280293756,6.0,54544.0,0.0
"Strasbourg, France",26.921605777252196,83.57832978555557,3.8431676875,11.80218134025914,7.0,48510.0,1.0
"Amsterdam, Netherlands",30.832392697481712,79.68944090000002,9.25465836,11.446147620226238,17.0,105952.0,5.0
"Copenhagen Municipality,Denmark",34.62170460625976,79.69720487250002,3.743961338888889,16.795657531761393,8.0,110533.0,1.0
"Innsbruck, Austria",26.79051185311961,77.08074525,4.37888197,11.540865384683313,1.0,7798.0,0.0
"Bristol, United Kingdom",22.44068234698853,68.32298123,3.970718707142858,6.878671202372737,8.0,83084.0,2.0
"Antwerp, Belgium",30.97690949173604,74.65148368444444,5.628881962500001,11.834980036258838,17.0,82226.0,5.0
"Nuremberg, Germany",31.02907857800777,82.29813655000002,3.743961338888889,13.80565543182543,16.0,127903.0,1.0
"Malmo, Sweden",25.528210268225244,57.61904753333333,9.2003105125,8.286855827699679,7.0,61439.0,2.0
"Hannover, Germany",31.802784559614462,81.11801232000002,2.95031055,14.715408430754135,13.0,112793.0,0.0
"Leipzig, Germany",29.97029499969504,90.99378875,3.545548641666667,14.133715671826275,22.0,171408.0,2.0
"Berlin, Germany",34.4349343592757,90.37267073,3.743961338888889,15.681482948252055,70.0,420110.0,10.0
"Montreal, Canada",30.253708339851492,80.00690121555556,7.031943178571428,12.429027753998914,32.0,136321.0,9.0
