place,average_index,max_index,min_index,std_index,grids,nsegments,unused_grids
"Bern, Switzerland",56.492704104828434,86.92578911651596,28.882051960304388,13.218884050636179,5.0,26550.0,1.0
"Bordeaux, France",58.13329031707657,87.09129522928312,28.874463984978327,11.360054752468706,3.0,24112.0,1.0
"Bremen, Germany",57.80969632765565,88.11688304818182,28.28208095447648,13.075120744489398,26.0,162422.0,5.0
"Utrecht, Netherlands",63.4292659231682,86.14914374149193,24.66913447776196,10.255042122306673,6.0,54363.0,0.0
"Strasbourg, France",57.30895141567986,90.36578582459666,21.959661656934838,11.371069275475516,7.0,48624.0,1.0
"Amsterdam, Netherlands",60.71633680453321,86.77055280014031,30.311779716982485,9.874649876190798,17.0,106129.0,5.0
Copenhagen Municipality,60.09830798186763,88.15749522454145,21.45860927598705,12.468349693514154,8.0,110273.0,1.0
"Innsbruck, Austria",56.040285794730046,83.78928811672957,24.669241199883903,11.40069415651599,1.0,7811.0,0.0
"Bristol, United Kingdom",53.55786969222026,89.6455296421698,22.60450511468093,9.073507412458014,8.0,83549.0,2.0
"Antwerp, Belgium",60.656103775580505,86.74898058221338,25.64300137874277,10.573663413252953,17.0,82190.0,5.0
"Nuremberg, Germany",58.526586770487654,89.03728086016585,21.457490138042246,12.036351138559072,16.0,128453.0,1.0
"Malmo, Sweden",57.80088989553993,80.50044159939793,28.88221691503437,8.840306429514794,7.0,61417.0,2.0
"Hannover, Germany",59.133181152757714,88.63364856486919,17.44349321924641,12.439015938061607,13.0,113171.0,0.0
"Leipzig, Germany",56.3758902346825,90.99378875,20.455043084470912,11.851408179226432,22.0,171454.0,2.0
"Berlin, Germany",59.260277219840056,90.37267073,21.457479210100527,13.057404370530904,70.0,446567.0,1.0
"Montreal, Canada",60.903183213198524,87.4237402773631,21.673321671756977,11.559018463581854,32.0,136911.0,8.0
