place,average_index,max_index,min_index,std_index,grids,nsegments,unused_grids
"Bern, Switzerland",56.493188842288745,86.92578911651596,28.882051960304388,13.217373103717652,5.0,26542.0,1.0
"Bordeaux, France",58.13329031707657,87.09129522928312,28.874463984978327,11.360054752468706,3.0,24112.0,1.0
"Bremen, Germany",57.810680974813614,88.11688304818182,28.28208095447648,13.075417542343152,26.0,162398.0,5.0
"Utrecht, Netherlands",63.42597150014822,86.14914374149193,24.66913447776196,10.252318288955195,6.0,54351.0,0.0
"Strasbourg, France",57.30769822770915,90.36578582459666,21.959661656934838,11.372856633244094,7.0,48624.0,1.0
"Amsterdam, Netherlands",60.72008974063801,86.77055280014031,30.311779716982485,9.873067599548202,17.0,106081.0,5.0
"Copenhagen Municipality, Denmark",60.0887534176233,88.15749522454145,21.45860927598705,12.464643649462689,8.0,110264.0,1.0
"Innsbruck, Austria",56.045662660126226,83.78928811672957,24.669241199883903,11.400694760509614,1.0,7811.0,0.0
"Bristol, United Kingdom",53.559461792561855,89.6455296421698,22.60450511468093,9.072856591546564,8.0,83483.0,2.0
"Antwerp, Belgium",60.66831160593982,86.74898058221338,25.64300137874277,10.566077244355307,17.0,82070.0,5.0
"Nuremberg, Germany",58.52810645901634,89.03728086016585,21.457490138042246,12.036136473816454,16.0,128413.0,1.0
"Malmo, Sweden",57.80088989553993,80.50044159939793,28.88221691503437,8.840306429514794,7.0,61417.0,2.0
"Hannover, Germany",59.13133492763832,88.63364856486919,17.44349321924641,12.440409916437075,13.0,113051.0,0.0
"Leipzig, Germany",56.37548513096238,90.99378875,20.455043084470912,11.850697010346956,22.0,171440.0,2.0
"Berlin, Germany",59.32752324319174,90.37267073,21.457479210100527,13.055466087735212,70.0,443789.0,2.0
"Montreal, Canada",60.799214077628044,87.4237402773631,21.673321671756977,11.564614603842887,32.0,136289.0,9.0
